"SEXEQ" "AGER" "FAMIQ" "RELAT" "PCSPQ" "IMPNBS" "REJETS" "OPGNB" "MOYRV" "TAVEP" "ENDET" "GAGET" "GAGEC" "GAGEM" "KVUNB" "QSMOY" "QCRED" "DMVTP" "BOPPN" "FACAN" "LGAGT" "VIENB" "VIEMT" "UEMNB" "UEMMTS" "XLGNB" "XLGMT" "YLVNB" "YLVMT" "NBELTS" "MTELTS" "NBCATS" "MTCATS" "NBBECS" "MTBECS" "ROCNB" "NTCAS" "NPTAG" "ITAVC" "HAVEF" "JNBJD" "CARVP"
"161604" "Shom" 52 "Fmar" 134 "Psan" 0 0 1 25 0 7 106801 27602 79199 2 -8571 25 11 30 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 2 0 47519 1500 93 "Coui"
"241353" "Sfem" 36 "Fdiv" 275 "Pemp" 0 0 0 14 2612 24 51401 12755 38646 1 7954 13 11 41 0 0 0 0 2 2612 1 2190 1 422 0 0 0 0 0 0 17 3 0 10489 0 0 "Coui"
"245138" "Sfem" 59 "Fmar" 217 "Pint" 0 0 16 75 0 3 49857 0 49857 1 21115 75 11 31 143909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 32699 500 8 "Coui"
"249585" "Sfem" 54 "Fmar" 149 "Pcad" 0 0 2 28 93080 0 0 0 0 2 3678 24 11 50 0 0 0 0 1 93080 0 0 1 93080 0 0 0 0 0 0 28 2 0 105223 0 2 "Coui"
"560170" "Shom" 53 "Fmar" 285 "Pint" 0 0 3 61 345506 0 0 0 0 1 27376 61 11 50 0 0 0 0 3 345506 2 315825 1 29681 0 0 0 0 0 0 23 1 0 355100 750 2 "Coui"
"643916" "Shom" 44 "Fmar" 177 "Pcad" 0 0 1 17 14038 19 1078217 780 20897 1 4483 17 16 18 0 1056540 0 0 2 14038 1 11359 0 0 1 2679 0 0 0 0 0 1 0 50673 500 0 "Coui"
"747448" "Shom" 50 "Fmar" 173 "Pcad" 0 0 10 144 39316 9 133507 7177 117603 2 14668 141 11 115 174488 8727 0 0 4 39316 2 8861 2 30455 0 0 0 0 0 0 23 3 0 71976 0 59 "Coui"
"855407" "Shom" 26 "Fcel" 119 "Psan" 0 0 2 58 45603 0 0 0 0 1 45369 58 15 17 0 0 0 0 1 45603 1 45603 0 0 0 0 0 0 0 0 10 2 0 53583 0 0 "Coui"
"944782" "Sfem" 56 "Fmar" 158 "Pint" 0 0 4 15 18364 17 23660 23660 0 1 13992 14 15 35 0 0 0 0 1 18364 1 18364 0 0 0 0 0 0 0 0 14 2 0 27040 0 0 "Coui"
"1054710" "Shom" 56 "Fmar" 718 "Pcad" 0 0 2 22 0 0 0 0 0 1 53391 22 15 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 48148 0 0 "Coui"
"1167980" "Shom" 61 "Fmar" 65 "Pemp" 0 0 3 15 174394 32 93110 14537 78573 1 1133 15 11 26 0 0 1 9697 3 174394 2 174148 1 246 0 0 0 0 0 0 0 1 0 184091 9697 48 "Coui"
"1244152" "Shom" 35 "Fcel" 206 "Pouv" 0 0 0 20 36222 3 61800 1800 60000 1 -3364 20 11 64 0 0 1 24914 1 36222 0 0 0 0 1 36222 0 0 0 0 38 2 0 118571 24914 88 "Coui"
"1246291" "Shom" 32 "Fmar" 153 "Pemp" 0 0 0 44 0 2 7899 7899 0 1 -1593 36 11 57 0 0 1 950 1 0 0 0 1 0 0 0 0 0 0 0 30 2 0 6831 950 59 "Coui"
"1250991" "Shom" 43 "Fmar" 243 "Pcad" 0 0 12 167 317486 2 200358 0 0 2 22063 162 11 108 0 200358 1 107633 5 317486 2 156043 3 161443 0 0 0 0 0 0 34 2 0 465595 107633 38 "Coui"
"1341730" "Sfem" 56 "Fdiv" 258 "Pint" 0 0 2 167 297046 2 535969 273000 25639 1 100138 117 11 29 208179 237330 0 0 2 297046 1 19790 1 277256 0 0 0 0 0 0 0 3 1 324706 0 0 "Coui"
"1342024" "Shom" 48 "Fmar" 302 "Pcad" 0 0 6 47 0 0 0 0 0 1 46628 47 11 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1 0 41153 0 0 "Coui"
"1482451" "Sfem" 50 "Fcel" 57 "Pcad" 0 0 0 49 0 0 0 0 0 1 13278 49 11 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 24657 0 35 "Coui"
"2453082" "Sfem" 65 "Fmar" 188 "Pint" 0 0 2 17 158372 0 0 0 0 1 17650 13 11 32 0 0 0 0 3 158372 1 49417 2 108955 0 0 0 0 0 0 2 1 0 266087 95038 0 "Coui"
"3252089" "Shom" 40 "Fcel" 200 "Part" 0 0 1 33 283329 0 0 0 0 1 4292 7 11 21 120466 0 0 0 2 283329 2 283329 0 0 0 0 0 0 0 0 13 1 0 318169 10220 10 "Coui"
"3342290" "Shom" 48 "Fmar" 246 "Pouv" 0 0 1 19 45439 0 0 0 0 1 10438 9 15 21 0 0 0 0 3 45439 1 2141 1 30000 1 13298 0 0 0 0 11 1 0 51132 0 0 "Coui"
"5029400" "Shom" 35 "Fcel" 20 "Pemp" 0 0 7 51 20000 0 50000 0 50000 1 12781 49 11 97 0 0 0 0 3 20000 3 20000 0 0 0 0 0 0 0 0 27 3 1 26007 0 6 "Coui"
"5048551" "Shom" 37 "Fcel" 13 "Pemp" 0 0 2 265 230217 32 91259 0 91259 2 69789 223 11 60 0 0 0 0 3 230217 1 1e+05 2 130217 0 0 0 0 0 0 3 1 0 330629 0 59 "Coui"
"5050331" "Shom" 55 "Fmar" 12 "Pcad" 0 0 0 3 12300 0 142701 2701 140000 1 11872 0 11 33 0 0 0 0 3 12300 1 1800 2 10500 0 0 0 0 0 0 3 2 0 12300 0 0 "Coui"
"5063225" "Shom" 35 "Fmar" 7 "Pcad" 0 0 4 76 0 0 0 0 0 1 93795 76 11 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 190260 0 0 "Coui"
"5079094" "Shom" 48 "Fmar" 1 "Pcad" 0 0 2 21 100 0 0 0 0 1 1404 21 25 3 0 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 1 0 2908 0 0 "Coui"
"7501312" "Shom" 64 "Fmar" 2 "Psan" 0 0 1 63 30000 0 0 0 0 1 99182 53 15 8 89900 0 0 0 1 30000 0 0 1 30000 0 0 0 0 0 0 0 1 0 82588 0 0 "Coui"
"7504530" "Shom" 46 "Fmar" 15 "Pcad" 0 0 1 0 0 0 0 0 0 1 118289 0 17 10 0 0 1 126721 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 170718 126721 0 "Coui"
"7568538" "Shom" 45 "Fmar" 28 "Pcad" 0 0 3 11 36765 19 61472 0 61472 1 5183 11 15 16 58900 0 0 0 2 36765 1 6765 1 30000 0 0 0 0 0 0 0 1 0 143323 97063 15 "Coui"
"123126" "Shom" 54 "Fcel" 320 "Pint" 0 0 0 23 208838 0 0 0 0 1 2972 21 15 53 160117 0 0 0 3 208838 1 102725 2 106113 0 0 0 0 0 0 17 2 0 213269 0 2 "Coui"
"147129" "Shom" 49 "Fmar" 271 "Pcad" 0 0 1 35 14295 2 8116 8116 0 1 6446 35 15 86 140750 0 0 0 2 14295 1 0 1 14295 0 0 0 0 0 0 34 3 0 59110 0 31 "Coui"
"165393" "Shom" 26 "Fcel" 101 "Pcad" 0 0 1 24 368 0 80455 455 80000 2 6343 24 15 55 0 0 0 0 1 368 0 0 1 368 0 0 0 0 0 0 22 2 0 825 0 5 "Coui"
"177685" "Shom" 58 "Fmar" 849 "Pint" 0 0 1 61 42575 0 0 0 0 1 19481 61 15 38 0 0 0 0 3 42575 1 28797 2 13778 0 0 0 0 0 0 7 1 0 221249 126054 0 "Coui"
"406124" "Shom" 64 "Finc" 765 "Pret" 0 0 0 94 213901 14 86887 0 86887 1 111671 94 15 53 129944 0 0 0 2 213901 0 0 1 213187 1 714 0 0 0 0 28 2 0 455805 185535 0 "Coui"
"450792" "Shom" 38 "Fcel" 194 "Pint" 0 0 2 15 125977 0 588 588 0 1 5243 15 15 27 0 0 0 0 3 125977 2 125458 1 519 0 0 0 0 0 0 12 1 0 125977 0 21 "Coui"
"645079" "Shom" 55 "Fsep" 141 "Pint" 0 0 1 22 5500 23 268334 0 12826 1 8021 20 15 40 274980 255508 0 0 1 5500 1 5500 0 0 0 0 0 0 0 0 9 2 0 19497 0 16 "Coui"
"648951" "Shom" 57 "Finc" 37 "Pemp" 0 0 2 2 0 0 0 0 0 1 2445 1 24 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4826 0 0 "Coui"
"942913" "Shom" 45 "Fmar" 210 "Pcad" 0 0 2 20 10176 99 1637956 0 0 2 10923 20 15 11 0 1637956 0 0 3 10176 2 9891 1 285 0 0 0 0 0 0 0 1 0 24627 0 0 "Coui"
"1050422" "Shom" 49 "Fmar" 288 "Pemp" 0 0 2 35 166616 0 37438 37438 0 1 -23765 34 15 52 0 0 0 0 3 166616 2 163207 0 0 1 3409 0 0 0 0 21 1 0 178899 12283 80 "Coui"
"1050617" "Sfem" 55 "Fcel" 289 "Pint" 0 0 1 26 35383 0 0 0 0 1 12567 25 15 43 117000 0 0 0 2 35383 1 34053 1 1330 0 0 0 0 0 0 4 2 0 64471 200 0 "Coui"
"1117030" "Shom" 55 "Fmar" 314 "Pint" 0 0 2 192 68777 0 0 0 0 1 49707 192 15 53 0 0 0 0 2 68777 0 0 2 68777 0 0 0 0 0 0 20 2 0 533709 0 0 "Coui"
"1142242" "Shom" 49 "Fmar" 259 "Pemp" 0 0 1 102 293990 0 0 0 0 2 27870 102 15 86 0 0 0 0 3 293990 1 10734 2 283256 0 0 0 0 0 0 38 4 0 631593 300 7 "Coui"
"1142854" "Sfem" 55 "Finc" 248 "Part" 0 0 25 245 373505 1 30855 0 30855 1 16262 13 15 20 0 0 0 0 3 373505 1 71941 2 301564 0 0 0 0 0 0 11 2 1 478449 21306 0 "Coui"
"1250651" "Shom" 51 "Fcel" 252 "Pcad" 0 0 2 33 502925 0 0 0 0 1 9849 26 15 62 0 0 1 10650 5 502925 2 277133 2 97562 1 128230 0 0 0 0 19 2 0 689770 172361 0 "Coui"
"1642888" "Shom" 39 "Fcel" 253 "Psan" 0 -1 0 21 0 0 0 0 0 1 -3535 21 16 36 325480 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 1 0 9127 0 73 "Coui"
"2246945" "Shom" 38 "Fmar" 133 "Pint" 0 0 2 23 1900 4 44499 0 44499 1 -4294 22 15 78 0 0 0 0 2 1900 1 1800 1 100 0 0 0 0 0 0 41 2 0 5616 0 82 "Coui"
"3142241" "Shom" 56 "Fmar" 243 "Pcad" 0 0 1 41 145180 0 0 0 0 1 6865 41 15 48 0 0 2 207082 5 145180 3 107217 2 37963 0 0 0 0 0 0 8 1 0 364607 212591 1 "Coui"
"3243104" "Sfem" 32 "Fdiv" 198 "Pemp" 0 0 1 14 0 0 0 0 0 1 -672 14 16 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5613 0 42 "Coui"
"3244257" "Sfem" 49 "Fdiv" 127 "Pcad" 0 0 20 243 674742 4 1800000 0 0 2 36117 242 15 262 0 1800000 3 1876826 5 674742 2 466464 2 97724 1 110554 0 0 0 0 21 1 0 2871625 2155668 40 "Coui"
"3251390" "Shom" 40 "Fcel" 199 "Pint" 0 0 1 22 694853 3 38124 0 38124 1 21615 19 15 12 0 0 2 465640 9 694853 2 276106 1 32083 6 386664 0 0 0 0 0 1 0 1590118 843364 0 "Coui"
"3440837" "Shom" 55 "Fmar" 267 "Pcad" 0 -4 0 16 138 6 92549 5505 87044 2 -4278 16 15 40 444936 0 0 0 1 138 0 0 1 138 0 0 0 0 0 0 28 3 0 20871 20600 91 "Coui"
"3743533" "Shom" 36 "Fcel" 160 "Pemp" 0 0 0 21 611303 0 0 0 0 1 20939 21 15 43 0 0 0 0 4 611303 2 579603 2 31700 0 0 0 0 0 0 17 2 0 649872 500 0 "Coui"
"5043817" "Shom" 30 "Fmar" 16 "Pint" 0 0 2 19 0 0 0 0 0 1 41589 19 15 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 41943 0 0 "Coui"
"5059337" "Shom" 44 "Fuli" 10 "Pcad" 0 0 2 0 0 0 0 0 0 1 126641 0 15 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 118323 49488 0 "Coui"
"5075858" "Shom" 40 "Fuli" 3 "Pcad" 0 0 1 0 0 0 0 0 0 1 477 0 17 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 750 0 0 "Coui"
"5079348" "Shom" 57 "Fmar" 2 "Pcad" 0 0 1 3 0 0 0 0 0 1 5000 3 17 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 10000 0 0 "Coui"
"7501958" "Shom" 53 "Fmar" 20 "Pcad" 0 0 0 0 100 0 0 0 0 1 -621 0 15 4 160500 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 2 0 25309 0 14 "Coui"
"7544157" "Shom" 48 "Fmar" 7 "Pcad" 0 0 6 86 30836 7 666389 0 666389 1 22728 79 15 56 62464 0 0 0 1 30836 1 30836 0 0 0 0 0 0 0 0 5 2 0 415519 355153 6 "Coui"
"153009" "Shom" 43 "Fcel" 213 "Pint" 0 0 1 46 36000 0 0 0 0 1 63895 46 11 37 36894 0 0 0 2 36000 1 6400 1 29600 0 0 0 0 0 0 21 2 0 87160 0 0 "Coui"
"165626" "Shom" 37 "Fcel" 188 "Pint" 0 0 4 102 383645 2 476476 0 0 1 54735 102 11 34 125100 476476 0 0 5 383645 2 115625 2 266455 1 1565 0 0 0 0 6 1 0 576535 2163 0 "Coui"
"243191" "Sfem" 46 "Fmar" 248 "Pcad" 0 0 3 133 177130 0 17383 0 0 1 71866 133 11 45 0 17383 1 55055 3 177130 1 101573 2 75557 0 0 0 0 0 0 11 1 0 338550 117925 0 "Coui"
"249590" "Shom" 38 "Fmar" 151 "Pint" 0 0 0 16 49720 40 235698 8204 0 2 -2214 16 11 22 0 227494 0 0 2 49720 2 49720 0 0 0 0 0 0 0 0 NA 0 0 53191 0 92 "Coui"
"441061" "Shom" 57 "Fmar" 290 "Pcad" 0 0 2 27 378 10 171988 0 0 1 19241 27 18 7 0 171988 0 0 1 378 1 378 0 0 0 0 0 0 0 0 NA 0 0 69713 1000 0 "Coui"
"464651" "Shom" 27 "Finc" 39 "Part" 0 0 1 2 0 0 4392 4392 0 1 -1275 2 11 16 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 63 "Coui"
"464953" "Shom" 33 "Fmar" 111 "Pemp" 0 0 1 15 53482 0 0 0 0 2 677 13 11 38 0 0 0 0 3 53482 2 49993 1 3489 0 0 0 0 0 0 24 1 0 61515 6271 42 "Coui"
"562253" "Sfem" 45 "Fmar" 811 "Psan" 0 0 1 79 322007 0 0 0 0 1 101762 79 15 32 6788 0 0 0 2 322007 1 318908 1 3099 0 0 0 0 0 0 0 1 0 423753 0 0 "Coui"
"642811" "Shom" 51 "Fmar" 217 "Part" 0 0 0 14 105 13 228511 59572 168939 2 10221 12 11 14 0 0 1 7897 1 105 0 0 1 105 0 0 0 0 0 0 0 1 0 10541 7897 23 "Coui"
"1043797" "Shom" 40 "Fmar" 165 "Pemp" 0 0 2 45 10297 0 0 0 0 1 4153 45 11 62 69000 0 1 9632 2 10297 1 0 1 10297 0 0 0 0 0 0 17 1 0 25144 9832 27 "Coui"
"1053494" "Sfem" 37 "Fmar" 195 "Pint" 0 0 2 105 136023 12 986183 12243 44362 1 22584 75 11 81 0 929578 0 0 2 136023 1 11807 1 124216 0 0 0 0 0 0 52 3 0 136023 0 0 "Coui"
"1146476" "Shom" 46 "Fmar" 230 "Pcad" 0 0 2 21 56981 0 0 0 0 1 2965 21 11 34 150600 0 0 0 3 56981 2 56881 1 100 0 0 0 0 0 0 16 3 0 66742 8500 4 "Coui"
"1261126" "Shom" 28 "Fcel" 35 "Pint" 0 0 0 16 61803 0 0 0 0 1 5758 16 11 60 0 0 0 0 2 61803 1 52803 1 9000 0 0 0 0 0 0 40 2 0 65637 0 0 "Coui"
"1341588" "Shom" 55 "Fmar" 263 "Pcad" 0 0 1 51 380 1 18688 18688 0 1 16960 51 11 61 160372 0 0 0 3 380 1 0 2 380 0 0 0 0 0 0 19 2 0 880 500 14 "Coui"
"1451601" "Sfem" 32 "Fdiv" 148 "Pemp" 0 0 3 14 34189 0 0 0 0 1 18125 7 11 69 0 0 0 0 2 34189 1 34000 1 189 0 0 0 0 0 0 29 2 0 44655 0 0 "Coui"
"1749494" "Shom" 50 "Fmar" 55 "Pcad" 0 0 5 41 33100 0 0 0 0 1 10768 41 11 40 0 0 0 0 1 33100 0 0 1 33100 0 0 0 0 0 0 17 3 0 41219 0 4 "Coui"
"1954224" "Shom" 53 "Fmar" 38 "Pcad" 0 0 2 34 38975 2 9587 9587 0 1 27785 34 11 69 0 0 0 0 2 38975 1 9316 1 29659 0 0 0 0 0 0 31 3 0 46627 0 0 "Coui"
"2042793" "Shom" 26 "Fcel" 93 "Pcad" 0 0 0 16 99895 0 0 0 0 2 20794 16 11 27 0 0 0 0 2 99895 1 98961 1 934 0 0 0 0 0 0 16 2 0 143809 0 0 "Coui"
"2442813" "Shom" 51 "Fmar" 245 "Pcad" 0 0 3 11 0 96 121507 24404 97103 1 44 11 24 8 36240 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 522 0 35 "Coui"
"2463113" "Sfem" 33 "Fmar" 114 "Pemp" 0 0 4 36 1645 23 600733 0 0 2 1704 26 11 82 0 600733 1 7296 4 1645 4 1645 0 0 0 0 0 0 0 0 22 2 0 11325 7296 38 "Coui"
"2563404" "Sfem" 51 "Fdiv" 47 "Pcad" 0 0 4 58 33189 0 0 0 0 1 65694 58 11 38 0 0 0 0 1 33189 0 0 1 33189 0 0 0 0 0 0 2 1 0 92541 0 0 "Coui"
"2845404" "Sfem" 44 "Fmar" 179 "Pint" 0 0 0 76 0 17 300564 0 0 1 43108 76 11 66 0 300564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 2 0 18176 300 6 "Coui"
"3146126" "Shom" 50 "Fmar" 46 "Pint" 0 0 0 0 0 0 203720 203720 0 1 -56957 0 11 3 138000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 85 "Coui"
"3241325" "Sfem" 39 "Fveu" 250 "Pint" 0 0 7 46 9931 21 336246 11204 69636 1 4856 46 11 81 0 255406 0 0 4 9931 2 9417 2 514 0 0 0 0 0 0 23 2 0 19643 9712 18 "Coui"
"3344670" "Sfem" 44 "Fcel" 183 "Pint" 0 0 3 40 586394 0 198 198 0 1 11034 22 11 43 84000 0 4 195155 4 586394 1 254477 2 33809 1 298108 0 0 0 0 7 2 0 964227 377833 0 "Coui"
"3460377" "Shom" 64 "Fmar" 153 "Pcad" 0 0 1 66 340730 19 267188 0 267188 1 12360 56 11 56 0 0 1 41961 4 340730 2 220570 2 120160 0 0 0 0 0 0 8 2 0 396964 41961 6 "Coui"
"3842217" "Shom" 31 "Fuli" 127 "Pemp" 0 0 1 21 312787 40 441632 0 0 1 1970 21 11 40 0 441632 0 0 3 312787 2 306787 1 6000 0 0 0 0 0 0 8 2 0 324409 11482 55 "Coui"
"5006322" "Shom" 40 "Fdiv" 31 "Pcad" 0 0 1 21 7175 10 112027 13399 98628 1 -10664 21 11 38 0 0 0 0 2 7175 1 7050 1 125 0 0 0 0 0 0 5 2 0 7175 0 92 "Coui"
"5022365" "Shom" 27 "Fmar" 25 "Pcad" 0 0 4 44 0 2 9734 9734 0 1 21962 44 11 87 23941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 1 0 0 0 4 "Coui"
"5078472" "Shom" 38 "Fmar" 3 "Pcad" 0 0 0 18 9300 0 0 0 0 1 6699 18 11 24 56500 0 0 0 1 9300 0 0 1 9300 0 0 0 0 0 0 9 3 0 17452 0 0 "Coui"
"5081248" "Shom" 45 "Fmar" 2 "Part" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 "Coui"
"5082917" "Shom" 37 "Fmar" 1 "Pcad" 0 0 2 20 47250 0 0 0 0 1 1023 3 17 10 108500 0 0 0 1 47250 0 0 1 47250 0 0 0 0 0 0 0 1 0 58747 0 5 "Coui"
"7573846" "Shom" 43 "Fcel" 26 "Pcad" 0 0 0 0 7756 0 140220 140220 0 1 -70050 0 11 3 12000 0 0 0 3 7756 1 7371 2 385 0 0 0 0 0 0 0 1 0 7756 0 8 "Coui"
"149265" "Shom" 39 "Fmar" 310 "Pint" 0 0 1 100 21737 2 50522 0 31300 1 20055 100 14 51 141894 19222 0 0 2 21737 2 21737 0 0 0 0 0 0 0 0 32 3 0 100441 0 8 "Coui"
"149961" "Shom" 43 "Fmar" 231 "Pemp" 0 0 2 26 0 13 226858 45871 180987 3 -2454 26 14 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 1 0 17637 0 92 "Coui"
"252446" "Shom" 31 "Fcel" 118 "Pint" 0 0 1 45 128502 0 0 0 0 1 55529 42 14 85 139731 0 0 0 3 128502 1 42000 2 86502 0 0 0 0 0 0 65 2 0 147815 0 0 "Coui"
"554051" "Shom" 37 "Fcel" 137 "Pcad" 0 0 6 212 0 12 1982579 1361 391697 4 22732 213 14 128 357655 1589521 0 0 1 0 0 0 1 0 0 0 0 0 0 0 41 3 0 63689 0 24 "Coui"
"831509" "Shom" 59 "Fmar" 848 "Pcad" 0 0 1 354 718094 0 0 0 0 2 105683 193 14 35 203980 0 5 661991 3 718094 1 207693 2 510401 0 0 0 0 0 0 6 2 0 1879699 1140072 1 "Coui"
"1044514" "Sfem" 57 "Fmar" 133 "Pint" 0 0 3 10 10734 0 0 0 0 1 4844 10 15 23 0 0 0 0 1 10734 0 0 1 10734 0 0 0 0 0 0 10 2 0 18167 0 0 "Coui"
"1168050" "Shom" 34 "Finc" 67 "Pcad" 0 0 0 42 100 0 225834 0 225834 1 22879 2 21 2 0 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 NA 0 0 782 0 7 "Coui"
"1943932" "Shom" 51 "Fmar" 227 "Pcad" 0 0 2 44 0 0 6119 6119 0 3 24993 44 14 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 "Coui"
"2541959" "Shom" 55 "Finc" 266 "Part" 0 0 0 58 396427 46 296004 0 296004 1 28286 58 14 45 130288 0 2 1016293 2 396427 1 130744 1 265683 0 0 0 0 0 0 32 2 0 1491647 1094690 6 "Coui"
"2550389" "Shom" 61 "Fmar" 206 "Pcad" 0 0 1 51 407819 0 0 0 0 1 7757 38 14 92 104436 0 1 29604 2 407819 1 169819 1 238000 0 0 0 0 0 0 36 1 0 442398 29604 0 "Coui"
"2644899" "Shom" 46 "Fmar" 126 "Pint" 0 0 1 16 82834 0 746 746 0 1 6850 16 14 16 113494 0 0 0 2 82834 0 0 2 82834 0 0 0 0 0 0 0 2 1 82834 0 0 "Coui"
"3146165" "Sfem" 29 "Fmar" 204 "Pemp" 0 0 1 22 236693 0 0 0 0 1 4295 22 14 31 0 0 1 37415 3 236693 2 236505 1 188 0 0 0 0 0 0 13 1 0 284236 46085 0 "Coui"
"3241063" "Shom" 48 "Fmar" 264 "Pcad" 0 0 2 117 130589 5 126835 0 126835 2 15027 117 14 47 278400 0 1 81863 2 130589 2 130589 0 0 0 0 0 0 0 0 21 3 0 337797 82363 57 "Coui"
"3346721" "Shom" 43 "Fdiv" 133 "Pint" 0 0 1 27 1e+05 0 0 0 0 1 17216 27 15 18 0 0 0 0 1 1e+05 0 0 1 1e+05 0 0 0 0 0 0 0 1 0 274277 0 0 "Coui"
"5002214" "Shom" 28 "Fcel" 33 "Pemp" 0 0 4 53 29917 13 97162 0 97162 2 15723 53 15 51 0 0 0 0 2 29917 2 29917 0 0 0 0 0 0 0 0 20 2 0 40054 0 4 "Coui"
"5032531" "Shom" 28 "Fmar" 22 "Pemp" 0 0 1 7 411 0 4269 4269 0 1 5134 7 14 21 0 0 0 0 1 411 0 0 1 411 0 0 0 0 0 0 11 2 0 411 0 1 "Coui"
"5079351" "Shom" 44 "Fmar" 4 "Pint" 0 0 0 10 0 0 0 0 0 1 10709 10 18 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 29227 0 12 "Coui"
"5084793" "Shom" 34 "Fcel" 2 "Pcad" 0 0 1 1 200 0 0 0 0 1 1278 1 29 4 0 0 0 0 2 200 0 0 2 200 0 0 0 0 0 0 0 1 0 2755 0 0 "Coui"
"5085206" "Shom" 43 "Fcel" 1 "Pcad" 0 0 3 5 0 0 0 0 0 1 2649 5 14 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 6047 0 0 "Coui"
"154396" "Shom" 35 "Fmar" 196 "Pcad" 0 0 4 214 224826 13 1772689 0 201041 3 34221 213 13 119 0 1571648 0 0 4 224826 2 107510 2 117316 0 0 0 0 0 0 43 4 0 271359 200 0 "Coui"
"156485" "Shom" 40 "Fmar" 309 "Pcad" 0 0 4 156 724959 14 1681684 63442 1618242 2 38831 157 13 58 0 0 0 0 2 724959 1 404448 1 320511 0 0 0 0 0 0 17 2 0 751664 16110 7 "Coui"
"158823" "Shom" 47 "Fdiv" 156 "Psan" 0 0 2 11 34696 0 0 0 0 1 3703 8 14 24 0 0 1 94518 4 34696 1 2294 3 32402 0 0 0 0 0 0 15 1 0 139033 94518 34 "Coui"
"162381" "Shom" 56 "Fcel" 131 "Pcad" 0 0 1 31 29618 8 206323 0 75670 1 65548 31 13 63 0 130653 0 0 1 29618 0 0 1 29618 0 0 0 0 0 0 31 2 0 69425 0 0 "Coui"
"163091" "Shom" 54 "Fmar" 124 "Pint" 0 0 3 821 0 0 0 0 0 1 76492 35 13 90 0 0 1 5130212 0 0 0 0 0 0 0 0 0 0 0 0 51 1 0 9299466 7066619 34 "Coui"
"255734" "Shom" 56 "Fmar" 226 "Pcad" 0 0 1 8 0 0 0 0 0 1 11231 8 20 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 16282 0 0 "Coui"
"256787" "Shom" 38 "Fmar" 69 "Pcad" 0 0 0 0 0 0 0 0 0 1 0 0 13 0 96000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 107750 0 0 "Coui"
"455868" "Shom" 28 "Fcel" 143 "Pemp" 0 0 1 37 56153 5 10694 0 10694 2 12383 37 13 41 167866 0 0 0 2 56153 1 28639 1 27514 0 0 0 0 0 0 17 4 0 83142 0 0 "Coui"
"505668" "Shom" 53 "Fmar" 842 "Pint" 0 0 0 59 8302 12 194231 31503 162728 2 2420 60 13 97 1331530 0 0 0 1 8302 1 8302 0 0 0 0 0 0 0 0 33 3 1 12896 0 85 "Coui"
"555090" "Shom" 60 "Fmar" 121 "Pcad" 0 0 0 20 108930 0 0 0 0 1 3048 0 23 1 0 0 1 695634 3 108930 1 67966 2 40964 0 0 0 0 0 0 0 1 0 946222 834743 0 "Coui"
"585843" "Shom" 36 "Fcel" 90 "Pemp" 0 0 2 41 104075 4 35070 1091 33979 2 6647 41 13 99 0 0 1 6309 2 104075 2 104075 0 0 0 0 0 0 0 0 63 2 0 127768 15523 33 "Coui"
"605838" "Shom" 60 "Finc" 800 "Pret" 0 0 1 63 0 0 98556 98556 0 1 7319 23 13 15 91930 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 192352 0 9 "Coui"
